	IP-1-1	IP-2-1	IP-3-1	IL-1-1	IL-2-1	IL-3-1	IH-1-1	IH-2-1	IS-1-1	IBT-1-1
Open Space\Active Recreation	P	P	P	-	P	P	-	P	P	-
Open Space\Passive Recreation	P	P	P	-	-	-	-	-	-	-
Open Space\Natural Resources Preservation	-	-	-	-	-	-	-	-	-	-
Open Space\Park Maintenance Facilities	-	-	-	-	-	-	-	-	-	-
Agriculture\Agricultural Processing	-	-	-	-	-	-	-	-	-	-
Agriculture\Aquaculture Facilities	P(See Section 131.0623(l).)	P(See Section 131.0623(l).)	P(See Section 131.0623(l).)	P	P	P	P	P	P	-
Agriculture\Dairies	-	-	-	-	-	-	-	-	-	-
Agriculture\Horticulture Nurseries & Greenhouses	P(See Section 131.0623(l).)	P(See Section 131.0623(l).)	P(See Section 131.0623(l).)	P	P	P	P	P	-	-
Agriculture\Raising & Harvesting of Crops	-	-	-	P	-	P	P	P	-	-
"Agriculture\Raising, Maintaining & Keeping of Animals"	-	-	-	-	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	-	-	-	P	P	P	P	P	P	-
Separately Regulated Agriculture Uses\Commercial Stables	-	-	-	-	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Community Gardens	-	-	-	N	N	N	N	N	N	-
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-	-	-	-	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture- related Products & Flowers	-	-	-	-	-	-	-	-	-	-
Residential\Mobilehome Parks	-	-	-	-	-	-	-	-	-	-
Residential\Multiple Dwelling Units	-	-	P(See Section 131.0623(j).)	-	-	-	-	-	-	-
Residential\Rooming House [See Section 131.0112(a)(See Section 131.0623(g).)(A)]	-	-	-	-	-	-	-	-		-
Residential\Shopkeeper Units	-	-	-	-	-	-	-	-	-	-
Residential\Single Dwelling Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Companion Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Continuing Care Retirement Communities	-	-	L(See Section 131.0623(j).)	-	-	-	-	-	-	-
Employee Housing\6 or Fewer Employees	-	-	-	-	-	-	-	-	-	-
Employee Housing\12 or Fewer Employees	-	-	-	-	-	-	-	-	-	-
Employee Housing\Greater than 12 Employees	-	-	-	-	-	-	-	-	-	-
"Employee Housing\Fraternities, Sororities and Student Dormitories"	-	-	-	-	-	-	-	-	-	-
"Employee Housing\Garage, Yard, & Estate Sales"	-	-	-	-	-	-	-	-	-	-
Employee Housing\Guest Quarters	-	-	-	-	-	-	-	-	-	-
Employee Housing\Home Occupations	-	-	L	-	-	-	-	-	-	-
Employee Housing\Interim Ground Floor Residential	-	-	-	-	-	-	-	-	-	-
Employee Housing\Junior Units	-	-	-	-	-	-	-	-	-	-
Employee Housing\Live/Work Quarters	-	-	-	-	-	-	-	-	L	-
Employee Housing\Permanent Supportive Housing	-	-	-	-	-	-	-	-	-	-
Residential Care Facilities\6 or Fewer Persons	-	-	L	-	-	-	-	-	-	-
Residential Care Facilities\7 or More Persons	-	-	L	-	-	-	-	-	-	-
Transitional Housing\6 or Fewer Persons	-	-	L	-	-	-	-	-	-	-
Transitional Housing\7 or More Persons	-	-	C	-	-	-	-	-	-	-
Transitional Housing\Watchkeeper Quarters	L	L	L	L	L	L	L	L	L	L
Separately Regulated Institutional Uses\Airports	C	C	C	C	C	C	C	C	C	C
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	-	-	-	-	-	-	-	-	-	-
"Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories"	C	C	C	C	C	C	C	C	C	-
Separately Regulated Institutional Uses\Correctional Placement Centers	C	C	C	C	C	C	C	C	C	-
Educational Facilities\Kindergarten through Grade 12	-	C	-	-	C	C	-	-	C	-
Educational Facilities\Colleges / Universities	C	C	C	-	C	C	-	C	C	C
Educational Facilities\Vocational / Trade School	-	-	-	-	L	L	-	L	L	L
Educational Facilities\Electric Vehicle Charging Stations	L	L	L	L	L	L	L	L	L	L
Educational Facilities\Energy Generation & Distribution Facilities	C	C	C	P	C	P	P	P	C	-
Educational Facilities\Exhibit Halls & Convention Facilities	-	C	-	C	C	C	C	C	C	C
Educational Facilities\Flood Control Facilities	L	L	L	L	L	L	L	L	L	L
Educational Facilities\Historical Buildings Used for Purposes Not Otherwise Allowed	C	C	C	C	C	C	C	C	C	C
Homeless Facilities\Congregate Meal Facilities	-	C	-	-	C	C	-	C	C	-
Homeless Facilities\Emergency Shelters	-	C	-	-	C	C	-	C	L	-
Homeless Facilities\Homeless Day Centers	-	C	-	-	C	C	-	C	C	-
"Homeless Facilities\Hospitals, Intermediate Care Facilities & Nursing Facilities"	C	C	C	-	C	C	-	C	C	-
Homeless Facilities\Interpretive Centers	-	-	-	-	-	-	-	-	-	-
Homeless Facilities\Museums	-	-	-	-	-	-	-	-	-	-
"Homeless Facilities\Major Transmission, Relay, or Communications Switching Stations"	C	C	C	C	C	C	P	C	C	C
Homeless Facilities\Placemaking on Private Property	-	-	-	-	-	-	-	-	-	-
Homeless Facilities\Satellite Antennas	L	L	L	L	L	L	L	L	L	L
