	IP-1-1	IP-2-1	IP-3-1	IL-1-1	IL-2-1	IL-3-1	IH-1-1	IH-2-1	IS-1-1	IBT-1-1
Open Space\Active Recreation	P	P	P	-	P	P	-	P	P	-
Open Space\Passive Recreation	P	P	P	-	-	-	-	-	-	-
Open Space\Natural Resources Preservation	-	-	-	-	-	-	-	-	-	-
Open Space\Park Maintenance Facilities	-	-	-	-	-	-	-	-	-	-
Agriculture\Agricultural Processing	-	-	-	-	-	-	-	-	-	-
Agriculture\Aquaculture Facilities	P(19)	P(19)	P(19)	P	P	P	P	P	P	-
Agriculture\Dairies	-	-	-	-	-	-	-	-	-	-
Agriculture\Horticulture Nurseries & Greenhouses	P(19)	P(19)	P(19)	P	P	P	P	P	-	-
Agriculture\Raising & Harvesting of Crops	-	-	-	P	-	P	P	P	-	-
Agriculture\Raising, Maintaining & Keeping of Animals	-	-	-	-	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	-	-	-	P	P	P	P	P	P	-
Separately Regulated Agriculture Uses\Commercial Stables	-	-	-	-	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Community Gardens	-	-	-	N	N	N	N	N	N	-
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-	-	-	-	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture- related Products & Flowers	-	-	-	-	-	-	-	-	-	-
Residential\Mobilehome Parks	-	-	-	-	-	-	-	-	-	-
Residential\Multiple Dwelling Units	-	-	P(15)	-	-	-	-	-	-	-
Residential\Rooming House [See Section 131.0112(a)(3)(A)]	-	-	-	-	-	-	-	-		-
Residential\Shopkeeper Units	-	-	-	-	-	-	-	-	-	-
Residential\Single Dwelling Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Companion Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Continuing Care Retirement Communities	-	-	L(15)	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: 6 or Fewer Employees	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: 12 or Fewer Employees	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: Greater than 12 Employees	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Fraternities, Sororities and Student Dormitories	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Garage, Yard, & Estate Sales	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Guest Quarters	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Home Occupations	-	-	L	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Interim Ground Floor Residential	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Junior Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Live/Work Quarters	-	-	-	-	-	-	-	-	L	-
Separately Regulated Residential Uses\Permanent Supportive Housing	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Residential Care Facilities: 6 or Fewer Persons	-	-	L	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Residential Care Facilities: 7 or More Persons	-	-	L	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Transitional Housing: 6 or Fewer Persons	-	-	L	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Transitional Housing: 7 or More Persons	-	-	C	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Watchkeeper Quarters	L	L	L	L	L	L	L	L	L	L
Separately Regulated Institutional Uses\Airports	C	C	C	C	C	C	C	C	C	C
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	-	-	-	-	-	-	-	-	-	-
Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories	C	C	C	C	C	C	C	C	C	-
Separately Regulated Institutional Uses\Correctional Placement Centers	C	C	C	C	C	C	C	C	C	-
Separately Regulated Institutional Uses\Educational Facilities: Kindergarten through Grade 12	-	C	-	-	C	C	-	-	C	-
Separately Regulated Institutional Uses\Educational Facilities: Colleges / Universities	C	C	C	-	C	C	-	C	C	C
Separately Regulated Institutional Uses\Educational Facilities: Vocational / Trade School	-	-	-	-	L	L	-	L	L	L
Separately Regulated Institutional Uses\Electric Vehicle Charging Stations	L	L	L	L	L	L	L	L	L	L
Separately Regulated Institutional Uses\Energy Generation & Distribution Facilities	C	C	C	P	C	P	P	P	C	-
Separately Regulated Institutional Uses\Exhibit Halls & Convention Facilities	-	C	-	C	C	C	C	C	C	C
Separately Regulated Institutional Uses\Flood Control Facilities	L	L	L	L	L	L	L	L	L	L
Separately Regulated Institutional Uses\Historical Buildings Used for Purposes Not Otherwise Allowed	C	C	C	C	C	C	C	C	C	C
Separately Regulated Institutional Uses\Homeless Facilities: Congregate Meal Facilities	-	C	-	-	C	C	-	C	C	-
Separately Regulated Institutional Uses\Homeless Facilities: Emergency Shelters	-	C	-	-	C	C	-	C	L	-
Separately Regulated Institutional Uses\Homeless Facilities: Homeless Day Centers	-	C	-	-	C	C	-	C	C	-
Separately Regulated Institutional Uses\Hospitals, Intermediate Care Facilities & Nursing Facilities	C	C	C	-	C	C	-	C	C	-
